fecha,altura_astronomica_m,altura_medida_m
2026-07-06T07:45:00,1.15,1.39
2026-07-06T08:45:00,1.04,1.28
2026-07-06T09:45:00,0.91,1.16
2026-07-06T10:45:00,0.77,1.04
2026-07-06T11:45:00,0.65,0.88
2026-07-06T12:45:00,0.56,0.8
2026-07-06T13:45:00,0.55,0.84
2026-07-06T14:45:00,0.62,0.92
2026-07-06T15:45:00,0.75,1.05
2026-07-06T16:45:00,0.86,1.17
2026-07-06T17:45:00,0.9,1.18
2026-07-06T18:45:00,0.87,1.1
2026-07-06T19:45:00,0.82,
2026-07-06T20:45:00,0.75,
2026-07-06T21:45:00,0.65,
2026-07-06T22:45:00,0.54,
2026-07-06T23:45:00,0.44,
