fecha,nivel
2026-09-08T00:00:00,0.26
2026-09-08T00:12:00,0.314
2026-09-08T00:18:00,0.361
2026-09-08T00:24:00,0.382
2026-09-08T00:30:00,0.407
2026-09-08T00:36:00,0.456
2026-09-08T00:42:00,0.435
2026-09-08T00:48:00,0.486
2026-09-08T00:54:00,0.525
2026-09-08T01:00:00,0.516
2026-09-08T01:06:00,0.559
2026-09-08T01:12:00,0.594
2026-09-08T01:18:00,0.626
2026-09-08T01:24:00,0.662
2026-09-08T01:30:00,0.665
2026-09-08T01:36:00,0.715
2026-09-08T01:42:00,0.723
2026-09-08T01:48:00,0.724
2026-09-08T01:54:00,0.765
2026-09-08T02:00:00,0.778
2026-09-08T02:06:00,0.797
2026-09-08T02:12:00,0.825
2026-09-08T02:18:00,0.845
2026-09-08T02:24:00,0.869
2026-09-08T02:30:00,0.87
2026-09-08T02:36:00,0.911
2026-09-08T02:42:00,0.953
2026-09-08T02:48:00,0.932
2026-09-08T02:54:00,0.959
2026-09-08T03:00:00,0.982
2026-09-08T03:06:00,0.999
2026-09-08T03:12:00,0.985
2026-09-08T03:18:00,1.037
2026-09-08T03:24:00,1.056
2026-09-08T03:30:00,1.054
2026-09-08T03:36:00,1.101
2026-09-08T03:42:00,1.096
2026-09-08T03:48:00,1.083
2026-09-08T03:54:00,1.1
2026-09-08T04:00:00,1.098
2026-09-08T04:06:00,1.104
2026-09-08T04:12:00,1.078
2026-09-08T04:18:00,1.083
2026-09-08T04:24:00,1.078
2026-09-08T04:30:00,1.071
2026-09-08T04:36:00,1.097
2026-09-08T04:42:00,1.071
2026-09-08T04:48:00,1.063
2026-09-08T04:54:00,1.073
2026-09-08T05:00:00,1.064
2026-09-08T05:06:00,1.044
2026-09-08T05:12:00,1.053
2026-09-08T05:18:00,1.016
2026-09-08T05:24:00,1.021
2026-09-08T05:30:00,0.997
2026-09-08T05:36:00,0.973
2026-09-08T05:42:00,0.963
2026-09-08T05:48:00,0.973
2026-09-08T05:54:00,0.909
2026-09-08T06:00:00,0.893
2026-09-08T06:06:00,0.87
2026-09-08T06:12:00,0.801
2026-09-08T06:18:00,0.82
2026-09-08T06:24:00,0.815
2026-09-08T06:30:00,0.796
2026-09-08T06:36:00,0.799
2026-09-08T06:42:00,0.777
2026-09-08T06:48:00,0.756
2026-09-08T06:54:00,0.753
2026-09-08T07:00:00,0.742
2026-09-08T07:06:00,0.739
2026-09-08T07:12:00,0.702
2026-09-08T07:18:00,0.72
2026-09-08T07:24:00,0.694
2026-09-08T07:30:00,0.701
2026-09-08T07:36:00,0.679
2026-09-08T07:42:00,0.69
2026-09-08T07:48:00,0.674
2026-09-08T07:54:00,0.671
2026-09-08T08:00:00,0.63
2026-09-08T08:06:00,0.654
2026-09-08T08:12:00,0.652
2026-09-08T08:18:00,0.624
2026-09-08T08:24:00,0.637
2026-09-08T08:30:00,0.652
2026-09-08T08:36:00,0.626
2026-09-08T08:42:00,0.618
2026-09-08T08:48:00,0.656
2026-09-08T08:54:00,0.645
2026-09-08T09:00:00,0.623
2026-09-08T09:06:00,0.667
2026-09-08T09:12:00,0.638
2026-09-08T09:18:00,0.617
2026-09-08T09:24:00,0.66
2026-09-08T09:30:00,0.664
2026-09-08T09:36:00,0.681
2026-09-08T09:42:00,0.674
2026-09-08T09:48:00,0.671
2026-09-08T09:54:00,0.668
2026-09-08T10:00:00,0.705
2026-09-08T10:06:00,0.737
2026-09-08T10:12:00,0.725
2026-09-08T10:18:00,0.735
2026-09-08T10:24:00,0.767
2026-09-08T10:30:00,0.781
2026-09-08T10:36:00,0.817
2026-09-08T10:42:00,0.813
2026-09-08T10:48:00,0.814
2026-09-08T10:54:00,0.863
2026-09-08T11:00:00,0.864
2026-09-08T11:06:00,0.89
2026-09-08T11:12:00,0.912
