fecha,altura_astronomica_m,altura_medida_m
2026-07-11T00:45:00,1.01,1.27
2026-07-11T01:45:00,1.12,1.36
2026-07-11T02:45:00,1.13,1.35
2026-07-11T03:45:00,1.07,1.25
2026-07-11T04:45:00,0.95,1.12
2026-07-11T05:45:00,0.81,0.98
2026-07-11T06:45:00,0.65,0.85
2026-07-11T07:45:00,0.52,0.73
2026-07-11T08:45:00,0.43,0.62
2026-07-11T09:45:00,0.38,0.54
2026-07-11T10:45:00,0.39,0.5
2026-07-11T11:45:00,0.49,0.65
2026-07-11T12:45:00,0.7,0.97
2026-07-11T13:45:00,0.91,1.15
2026-07-11T14:45:00,1.05,1.28
2026-07-11T15:45:00,1.11,1.32
2026-07-11T16:45:00,1.09,1.23
2026-07-11T17:45:00,1.0,1.12
2026-07-11T18:45:00,0.88,0.97
2026-07-11T19:45:00,0.77,0.82
2026-07-11T20:45:00,0.69,0.7
2026-07-11T21:45:00,0.64,0.64
2026-07-11T22:45:00,0.64,0.64
2026-07-11T23:45:00,0.72,0.84
