fecha,altura_astronomica_m,altura_medida_m
2026-07-10T06:45:00,0.5,0.92
2026-07-10T07:45:00,0.41,0.81
2026-07-10T08:45:00,0.37,0.73
2026-07-10T09:45:00,0.39,0.7
2026-07-10T10:45:00,0.52,0.95
2026-07-10T11:45:00,0.74,1.21
2026-07-10T12:45:00,0.96,1.38
2026-07-10T13:45:00,1.11,1.51
2026-07-10T14:45:00,1.16,1.58
2026-07-10T15:45:00,1.13,1.56
2026-07-10T16:45:00,1.04,1.44
2026-07-10T17:45:00,0.92,1.28
2026-07-10T18:45:00,0.79,1.14
2026-07-10T19:45:00,0.7,
2026-07-10T20:45:00,0.65,
2026-07-10T21:45:00,0.64,
2026-07-10T22:45:00,0.7,
2026-07-10T23:45:00,0.84,
