fecha,altura_astronomica_m,altura_medida_m
2026-09-25T05:45:00,3.49,3.86
2026-09-25T06:45:00,3.19,3.72
2026-09-25T07:45:00,2.67,3.35
2026-09-25T08:45:00,2.03,2.72
2026-09-25T09:45:00,1.44,2.09
2026-09-25T10:45:00,1.11,1.34
2026-09-25T11:45:00,1.13,0.93
2026-09-25T12:45:00,1.53,1.26
2026-09-25T13:45:00,2.18,2.07
2026-09-25T14:45:00,2.9,2.97
2026-09-25T15:45:00,3.5,3.89
2026-09-25T16:45:00,3.84,4.22
2026-09-25T17:45:00,3.85,
2026-09-25T18:45:00,3.54,
2026-09-25T19:45:00,2.94,
2026-09-25T20:45:00,2.18,
2026-09-25T21:45:00,1.43,
2026-09-25T22:45:00,0.9,
2026-09-25T23:45:00,0.73,
