fecha,altura_astronomica_m,altura_medida_m
2026-07-27T00:45:00,1.62,1.77
2026-07-27T01:45:00,2.38,2.66
2026-07-27T02:45:00,3.01,3.36
2026-07-27T03:45:00,3.44,3.74
2026-07-27T04:45:00,3.63,3.84
2026-07-27T05:45:00,3.55,3.74
2026-07-27T06:45:00,3.17,3.41
2026-07-27T07:45:00,2.55,2.81
2026-07-27T08:45:00,1.85,2.12
2026-07-27T09:45:00,1.32,1.46
2026-07-27T10:45:00,1.15,1.0
2026-07-27T11:45:00,1.4,1.17
2026-07-27T12:45:00,1.96,1.86
2026-07-27T13:45:00,2.66,2.62
2026-07-27T14:45:00,3.31,3.39
2026-07-27T15:45:00,3.81,3.85
2026-07-27T16:45:00,4.08,4.06
2026-07-27T17:45:00,4.05,4.0
2026-07-27T18:45:00,3.66,3.65
2026-07-27T19:45:00,2.91,3.05
2026-07-27T20:45:00,1.95,2.12
2026-07-27T21:45:00,1.05,1.22
2026-07-27T22:45:00,0.49,0.54
2026-07-27T23:45:00,0.45,0.36
