fecha,altura_astronomica_m,altura_medida_m
2026-07-13T00:45:00,2.15,1.31
2026-07-13T01:45:00,2.78,2.17
2026-07-13T02:45:00,3.24,2.93
2026-07-13T03:45:00,3.44,3.32
2026-07-13T04:45:00,3.37,3.27
2026-07-13T05:45:00,3.06,2.98
2026-07-13T06:45:00,2.57,2.43
2026-07-13T07:45:00,2.04,1.74
2026-07-13T08:45:00,1.62,1.14
2026-07-13T09:45:00,1.46,0.75
2026-07-13T10:45:00,1.64,0.81
2026-07-13T11:45:00,2.11,1.41
2026-07-13T12:45:00,2.73,1.87
2026-07-13T13:45:00,3.32,2.37
2026-07-13T14:45:00,3.74,3.0
2026-07-13T15:45:00,3.93,3.47
2026-07-13T16:45:00,3.87,3.62
2026-07-13T17:45:00,3.57,3.61
2026-07-13T18:45:00,3.07,3.27
2026-07-13T19:45:00,2.42,2.64
2026-07-13T20:45:00,1.72,1.74
2026-07-13T21:45:00,1.15,0.87
2026-07-13T22:45:00,0.86,0.25
2026-07-13T23:45:00,0.96,0.53
