fecha,altura_astronomica_m,altura_medida_m
2026-07-23T03:45:00,2.73,2.38
2026-07-23T04:45:00,1.78,1.59
2026-07-23T05:45:00,0.93,0.8
2026-07-23T06:45:00,0.53,0.31
2026-07-23T07:45:00,0.76,0.37
2026-07-23T08:45:00,1.51,1.21
2026-07-23T09:45:00,2.45,2.1
2026-07-23T10:45:00,3.26,3.0
2026-07-23T11:45:00,3.8,3.65
2026-07-23T12:45:00,4.07,3.91
2026-07-23T13:45:00,4.11,3.86
2026-07-23T14:45:00,3.89,3.56
2026-07-23T15:45:00,3.32,
2026-07-23T16:45:00,2.43,
2026-07-23T17:45:00,1.44,
2026-07-23T18:45:00,0.71,
2026-07-23T19:45:00,0.51,
2026-07-23T20:45:00,0.89,
2026-07-23T21:45:00,1.64,
2026-07-23T22:45:00,2.46,
2026-07-23T23:45:00,3.13,
