fecha,altura_astronomica_m,altura_medida_m
2026-08-25T00:45:00,2.18,1.47
2026-08-25T01:45:00,2.82,2.09
2026-08-25T02:45:00,3.29,2.78
2026-08-25T03:45:00,3.54,3.11
2026-08-25T04:45:00,3.54,3.01
2026-08-25T05:45:00,3.25,2.65
2026-08-25T06:45:00,2.71,2.01
2026-08-25T07:45:00,2.06,1.37
2026-08-25T08:45:00,1.53,0.85
2026-08-25T09:45:00,1.29,0.59
2026-08-25T10:45:00,1.42,0.72
2026-08-25T11:45:00,1.85,1.19
2026-08-25T12:45:00,2.44,1.8
2026-08-25T13:45:00,3.04,2.45
2026-08-25T14:45:00,3.54,3.11
2026-08-25T15:45:00,3.86,3.51
2026-08-25T16:45:00,3.93,3.61
2026-08-25T17:45:00,3.65,3.36
2026-08-25T18:45:00,3.03,2.87
2026-08-25T19:45:00,2.16,2.03
2026-08-25T20:45:00,1.3,1.06
2026-08-25T21:45:00,0.69,0.26
2026-08-25T22:45:00,0.53,-0.2
2026-08-25T23:45:00,0.83,-0.03
