fecha,altura_astronomica_m,altura_medida_m
2026-08-06T00:45:00,3.51,3.91
2026-08-06T01:45:00,2.94,3.39
2026-08-06T02:45:00,2.14,2.47
2026-08-06T03:45:00,1.3,1.58
2026-08-06T04:45:00,0.72,0.82
2026-08-06T05:45:00,0.66,0.71
2026-08-06T06:45:00,1.18,1.26
2026-08-06T07:45:00,2.07,2.17
2026-08-06T08:45:00,2.98,3.28
2026-08-06T09:45:00,3.63,3.95
2026-08-06T10:45:00,3.91,4.17
2026-08-06T11:45:00,3.88,4.24
2026-08-06T12:45:00,3.64,4.04
2026-08-06T13:45:00,3.2,3.48
2026-08-06T14:45:00,2.59,3.04
2026-08-06T15:45:00,1.86,2.09
2026-08-06T16:45:00,1.21,2.09
2026-08-06T17:45:00,0.89,0.89
2026-08-06T18:45:00,1.06,0.96
2026-08-06T19:45:00,1.66,1.68
2026-08-06T20:45:00,2.45,2.66
2026-08-06T21:45:00,3.17,3.38
2026-08-06T22:45:00,3.64,3.8
2026-08-06T23:45:00,3.81,4.0
