fecha,altura_astronomica_m,altura_medida_m
2026-07-10T06:45:00,0.85,0.78
2026-07-10T07:45:00,0.88,0.69
2026-07-10T08:45:00,1.41,1.41
2026-07-10T09:45:00,2.22,2.38
2026-07-10T10:45:00,3.03,3.33
2026-07-10T11:45:00,3.6,3.92
2026-07-10T12:45:00,3.88,4.14
2026-07-10T13:45:00,3.9,4.23
2026-07-10T14:45:00,3.71,4.11
2026-07-10T15:45:00,3.32,3.77
2026-07-10T16:45:00,2.73,3.14
2026-07-10T17:45:00,2.01,2.32
2026-07-10T18:45:00,1.36,1.41
2026-07-10T19:45:00,1.0,
2026-07-10T20:45:00,1.07,
2026-07-10T21:45:00,1.54,
2026-07-10T22:45:00,2.21,
2026-07-10T23:45:00,2.88,
