fecha,altura_astronomica_m,altura_medida_m
2026-08-13T00:45:00,0.81,0.56
2026-08-13T01:45:00,1.33,1.19
2026-08-13T02:45:00,2.05,2.04
2026-08-13T03:45:00,2.74,2.85
2026-08-13T04:45:00,3.21,3.44
2026-08-13T05:45:00,3.4,3.66
2026-08-13T06:45:00,3.34,3.59
2026-08-13T07:45:00,3.09,3.36
2026-08-13T08:45:00,2.68,2.85
2026-08-13T09:45:00,2.16,2.2
2026-08-13T10:45:00,1.66,1.48
2026-08-13T11:45:00,1.36,0.97
2026-08-13T12:45:00,1.41,0.98
2026-08-13T13:45:00,1.84,1.55
2026-08-13T14:45:00,2.53,2.24
2026-08-13T15:45:00,3.23,2.99
2026-08-13T16:45:00,3.72,3.65
2026-08-13T17:45:00,3.9,3.82
2026-08-13T18:45:00,3.81,3.79
2026-08-13T19:45:00,3.52,3.57
2026-08-13T20:45:00,3.05,3.06
2026-08-13T21:45:00,2.42,2.29
2026-08-13T22:45:00,1.68,1.38
2026-08-13T23:45:00,1.01,0.62
