fecha,altura_astronomica_m,altura_medida_m
2026-07-09T00:45:00,0.81,1.26
2026-07-09T01:45:00,1.03,1.47
2026-07-09T02:45:00,1.18,1.57
2026-07-09T03:45:00,1.26,1.66
2026-07-09T04:45:00,1.26,1.64
2026-07-09T05:45:00,1.19,1.63
2026-07-09T06:45:00,1.04,1.49
2026-07-09T07:45:00,0.85,1.19
2026-07-09T08:45:00,0.67,1.12
2026-07-09T09:45:00,0.57,0.92
2026-07-09T10:45:00,0.56,0.91
2026-07-09T11:45:00,0.67,1.03
2026-07-09T12:45:00,0.83,1.21
2026-07-09T13:45:00,0.99,1.41
2026-07-09T14:45:00,1.11,1.59
2026-07-09T15:45:00,1.16,1.59
2026-07-09T16:45:00,1.13,1.54
2026-07-09T17:45:00,1.03,1.42
2026-07-09T18:45:00,0.86,1.23
2026-07-09T19:45:00,0.65,1.0
2026-07-09T20:45:00,0.44,0.87
2026-07-09T21:45:00,0.3,0.7
2026-07-09T22:45:00,0.26,0.68
2026-07-09T23:45:00,0.35,0.77
