fecha,altura_astronomica_m,altura_medida_m
2026-07-03T00:45:00,1.25,1.54
2026-07-03T01:45:00,1.16,1.49
2026-07-03T02:45:00,1.0,1.25
2026-07-03T03:45:00,0.81,1.02
2026-07-03T04:45:00,0.63,0.92
2026-07-03T05:45:00,0.51,0.82
2026-07-03T06:45:00,0.49,0.83
2026-07-03T07:45:00,0.55,0.81
2026-07-03T08:45:00,0.65,0.93
2026-07-03T09:45:00,0.75,1.0
2026-07-03T10:45:00,0.82,1.04
2026-07-03T11:45:00,0.85,1.09
2026-07-03T12:45:00,0.85,1.07
2026-07-03T13:45:00,0.81,1.06
2026-07-03T14:45:00,0.74,1.0
2026-07-03T15:45:00,0.64,0.85
2026-07-03T16:45:00,0.55,0.72
2026-07-03T17:45:00,0.52,0.69
2026-07-03T18:45:00,0.58,0.69
2026-07-03T19:45:00,0.73,0.85
2026-07-03T20:45:00,0.92,1.03
2026-07-03T21:45:00,1.1,1.24
2026-07-03T22:45:00,1.22,1.35
2026-07-03T23:45:00,1.29,1.42
