fecha,altura_astronomica_m,altura_medida_m
2026-07-03T07:45:00,1.35,1.32
2026-07-03T08:45:00,1.34,1.23
2026-07-03T09:45:00,1.22,1.13
2026-07-03T10:45:00,1.07,0.98
2026-07-03T11:45:00,0.93,0.83
2026-07-03T12:45:00,0.86,0.71
2026-07-03T13:45:00,0.88,0.72
2026-07-03T14:45:00,1.02,0.87
2026-07-03T15:45:00,1.24,1.11
2026-07-03T16:45:00,1.46,1.35
2026-07-03T17:45:00,1.64,1.53
2026-07-03T18:45:00,1.79,1.68
2026-07-03T19:45:00,1.85,
2026-07-03T20:45:00,1.75,
2026-07-03T21:45:00,1.48,
2026-07-03T22:45:00,1.15,
2026-07-03T23:45:00,0.85,
