fecha,altura_astronomica_m,altura_medida_m
2026-07-02T00:45:00,0.43,0.51
2026-07-02T01:45:00,0.42,0.55
2026-07-02T02:45:00,0.54,0.6
2026-07-02T03:45:00,0.74,0.8
2026-07-02T04:45:00,0.96,1.03
2026-07-02T05:45:00,1.16,1.19
2026-07-02T06:45:00,1.31,1.35
2026-07-02T07:45:00,1.35,1.35
2026-07-02T08:45:00,1.27,1.26
2026-07-02T09:45:00,1.13,1.18
2026-07-02T10:45:00,0.99,1.09
2026-07-02T11:45:00,0.9,1.0
2026-07-02T12:45:00,0.89,0.97
2026-07-02T13:45:00,1.0,1.11
2026-07-02T14:45:00,1.21,1.35
2026-07-02T15:45:00,1.44,1.6
2026-07-02T16:45:00,1.64,1.85
2026-07-02T17:45:00,1.8,2.04
2026-07-02T18:45:00,1.9,2.14
2026-07-02T19:45:00,1.86,2.06
2026-07-02T20:45:00,1.63,1.81
2026-07-02T21:45:00,1.29,1.5
2026-07-02T22:45:00,0.96,1.11
2026-07-02T23:45:00,0.69,0.72
