fecha,altura_astronomica_m,altura_medida_m
2026-07-11T00:45:00,1.09,1.32
2026-07-11T01:45:00,1.04,1.24
2026-07-11T02:45:00,0.92,1.15
2026-07-11T03:45:00,0.79,1.01
2026-07-11T04:45:00,0.67,0.9
2026-07-11T05:45:00,0.57,0.8
2026-07-11T06:45:00,0.49,0.69
2026-07-11T07:45:00,0.44,0.62
2026-07-11T08:45:00,0.45,0.63
2026-07-11T09:45:00,0.55,0.84
2026-07-11T10:45:00,0.71,1.06
2026-07-11T11:45:00,0.88,1.26
2026-07-11T12:45:00,1.01,1.31
2026-07-11T13:45:00,1.05,1.32
2026-07-11T14:45:00,1.03,1.31
2026-07-11T15:45:00,0.96,1.26
2026-07-11T16:45:00,0.87,1.04
2026-07-11T17:45:00,0.78,0.94
2026-07-11T18:45:00,0.7,0.87
2026-07-11T19:45:00,0.66,0.79
2026-07-11T20:45:00,0.68,0.82
2026-07-11T21:45:00,0.77,1.0
2026-07-11T22:45:00,0.9,1.22
2026-07-11T23:45:00,1.05,1.4
