fecha,altura_astronomica_m,altura_medida_m
2026-07-12T00:45:00,1.03,1.33
2026-07-12T01:45:00,1.08,1.38
2026-07-12T02:45:00,1.06,1.43
2026-07-12T03:45:00,1.01,1.41
2026-07-12T04:45:00,0.9,1.3
2026-07-12T05:45:00,0.78,1.21
2026-07-12T06:45:00,0.66,1.1
2026-07-12T07:45:00,0.55,1.02
2026-07-12T08:45:00,0.46,0.95
2026-07-12T09:45:00,0.41,0.92
2026-07-12T10:45:00,0.43,1.01
2026-07-12T11:45:00,0.54,1.19
2026-07-12T12:45:00,0.68,1.3
2026-07-12T13:45:00,0.8,1.37
2026-07-12T14:45:00,0.87,1.42
2026-07-12T15:45:00,0.9,1.43
2026-07-12T16:45:00,0.88,1.37
2026-07-12T17:45:00,0.82,1.26
2026-07-12T18:45:00,0.74,1.15
2026-07-12T19:45:00,0.68,1.04
2026-07-12T20:45:00,0.64,0.96
2026-07-12T21:45:00,0.62,0.89
2026-07-12T22:45:00,0.66,0.89
2026-07-12T23:45:00,0.78,1.03
