fecha,altura_astronomica_m,altura_medida_m
2026-07-03T00:45:00,0.6,0.96
2026-07-03T01:45:00,0.59,0.95
2026-07-03T02:45:00,0.63,1.08
2026-07-03T03:45:00,0.73,1.23
2026-07-03T04:45:00,0.87,1.38
2026-07-03T05:45:00,0.99,1.49
2026-07-03T06:45:00,1.08,1.57
2026-07-03T07:45:00,1.13,1.64
2026-07-03T08:45:00,1.13,1.65
2026-07-03T09:45:00,1.1,1.59
2026-07-03T10:45:00,1.05,1.49
2026-07-03T11:45:00,0.96,1.38
2026-07-03T12:45:00,0.86,1.26
2026-07-03T13:45:00,0.75,1.13
2026-07-03T14:45:00,0.68,1.04
2026-07-03T15:45:00,0.66,1.02
2026-07-03T16:45:00,0.68,1.02
2026-07-03T17:45:00,0.72,1.03
2026-07-03T18:45:00,0.76,1.07
2026-07-03T19:45:00,0.77,1.1
2026-07-03T20:45:00,0.78,1.07
2026-07-03T21:45:00,0.76,1.02
2026-07-03T22:45:00,0.72,0.97
2026-07-03T23:45:00,0.68,0.9
