fecha,altura_astronomica_m,altura_medida_m
2026-07-16T07:45:00,1.31,1.32
2026-07-16T08:45:00,1.22,1.22
2026-07-16T09:45:00,1.1,1.1
2026-07-16T10:45:00,0.97,0.96
2026-07-16T11:45:00,0.82,0.86
2026-07-16T12:45:00,0.66,0.73
2026-07-16T13:45:00,0.54,0.61
2026-07-16T14:45:00,0.51,0.53
2026-07-16T15:45:00,0.58,0.55
2026-07-16T16:45:00,0.68,0.69
2026-07-16T17:45:00,0.76,0.83
2026-07-16T18:45:00,0.81,0.87
2026-07-16T19:45:00,0.83,
2026-07-16T20:45:00,0.82,
2026-07-16T21:45:00,0.77,
2026-07-16T22:45:00,0.69,
2026-07-16T23:45:00,0.61,
