fecha,altura_astronomica_m,altura_medida_m
2026-07-08T00:45:00,1.38,1.43
2026-07-08T01:45:00,1.27,1.3
2026-07-08T02:45:00,1.12,1.27
2026-07-08T03:45:00,0.92,1.18
2026-07-08T04:45:00,0.71,0.96
2026-07-08T05:45:00,0.53,0.9
2026-07-08T06:45:00,0.42,0.76
2026-07-08T07:45:00,0.37,0.71
2026-07-08T08:45:00,0.41,0.69
2026-07-08T09:45:00,0.58,0.98
2026-07-08T10:45:00,0.82,1.14
2026-07-08T11:45:00,1.02,1.36
2026-07-08T12:45:00,1.1,1.32
2026-07-08T13:45:00,1.06,1.3
2026-07-08T14:45:00,0.96,1.46
2026-07-08T15:45:00,0.83,0.32
2026-07-08T16:45:00,0.7,1.09
2026-07-08T17:45:00,0.61,0.92
2026-07-08T18:45:00,0.6,0.76
2026-07-08T19:45:00,0.62,0.9
2026-07-08T20:45:00,0.68,0.99
2026-07-08T21:45:00,0.82,1.15
2026-07-08T22:45:00,1.02,1.34
2026-07-08T23:45:00,1.22,1.51
