fecha,altura_astronomica_m,altura_medida_m
2026-07-09T07:45:00,0.44,0.78
2026-07-09T08:45:00,0.42,0.76
2026-07-09T09:45:00,0.51,0.82
2026-07-09T10:45:00,0.7,1.07
2026-07-09T11:45:00,0.94,1.42
2026-07-09T12:45:00,1.13,1.47
2026-07-09T13:45:00,1.19,1.52
2026-07-09T14:45:00,1.14,1.46
2026-07-09T15:45:00,1.01,1.29
2026-07-09T16:45:00,0.85,1.06
2026-07-09T17:45:00,0.71,0.84
2026-07-09T18:45:00,0.62,0.71
2026-07-09T19:45:00,0.58,
2026-07-09T20:45:00,0.58,
2026-07-09T21:45:00,0.62,
2026-07-09T22:45:00,0.74,
2026-07-09T23:45:00,0.93,
