fecha,altura_astronomica_m,altura_medida_m
2026-07-07T00:45:00,0.49,0.49
2026-07-07T01:45:00,0.44,0.44
2026-07-07T02:45:00,0.45,0.39
2026-07-07T03:45:00,0.54,
2026-07-07T04:45:00,0.73,
2026-07-07T05:45:00,0.97,0.92
2026-07-07T06:45:00,1.19,1.07
2026-07-07T07:45:00,1.33,1.15
2026-07-07T08:45:00,1.36,1.21
2026-07-07T09:45:00,1.28,1.17
2026-07-07T10:45:00,1.15,1.03
2026-07-07T11:45:00,1.0,0.93
2026-07-07T12:45:00,0.85,0.8
2026-07-07T13:45:00,0.72,0.69
2026-07-07T14:45:00,0.63,0.55
2026-07-07T15:45:00,0.61,0.51
2026-07-07T16:45:00,0.67,0.47
2026-07-07T17:45:00,0.8,0.5
2026-07-07T18:45:00,0.95,0.6
2026-07-07T19:45:00,1.06,0.59
2026-07-07T20:45:00,1.07,0.59
2026-07-07T21:45:00,0.98,0.57
2026-07-07T22:45:00,0.85,0.53
2026-07-07T23:45:00,0.7,0.43
