fecha,altura_astronomica_m,altura_medida_m
2026-07-08T00:45:00,0.56,0.33
2026-07-08T01:45:00,0.46,0.24
2026-07-08T02:45:00,0.41,0.17
2026-07-08T03:45:00,0.43,0.13
2026-07-08T04:45:00,0.54,0.09
2026-07-08T05:45:00,0.74,0.15
2026-07-08T06:45:00,0.98,0.38
2026-07-08T07:45:00,1.19,0.55
2026-07-08T08:45:00,1.32,0.71
2026-07-08T09:45:00,1.33,0.79
2026-07-08T10:45:00,1.25,0.83
2026-07-08T11:45:00,1.11,0.76
2026-07-08T12:45:00,0.97,0.65
2026-07-08T13:45:00,0.82,0.59
2026-07-08T14:45:00,0.7,0.56
2026-07-08T15:45:00,0.63,0.52
2026-07-08T16:45:00,0.62,0.61
2026-07-08T17:45:00,0.71,0.71
2026-07-08T18:45:00,0.86,1.01
2026-07-08T19:45:00,1.01,1.13
2026-07-08T20:45:00,1.1,1.19
2026-07-08T21:45:00,1.1,1.2
2026-07-08T22:45:00,1.01,1.2
2026-07-08T23:45:00,0.86,1.09
