fecha,altura_astronomica_m,altura_medida_m
2026-07-05T06:45:00,1.34,1.41
2026-07-05T07:45:00,1.31,1.37
2026-07-05T08:45:00,1.21,1.28
2026-07-05T09:45:00,1.08,1.17
2026-07-05T10:45:00,0.93,1.02
2026-07-05T11:45:00,0.79,0.88
2026-07-05T12:45:00,0.67,0.77
2026-07-05T13:45:00,0.59,0.69
2026-07-05T14:45:00,0.6,0.67
2026-07-05T15:45:00,0.7,0.72
2026-07-05T16:45:00,0.83,0.84
2026-07-05T17:45:00,0.95,0.89
2026-07-05T18:45:00,1.0,0.91
2026-07-05T19:45:00,0.97,
2026-07-05T20:45:00,0.87,
2026-07-05T21:45:00,0.74,
2026-07-05T22:45:00,0.63,
2026-07-05T23:45:00,0.53,
