fecha,altura_astronomica_m,altura_medida_m
2026-07-12T00:45:00,0.79,0.98
2026-07-12T01:45:00,0.86,1.11
2026-07-12T02:45:00,0.99,1.3
2026-07-12T03:45:00,1.08,1.44
2026-07-12T04:45:00,1.16,1.54
2026-07-12T05:45:00,1.14,1.53
2026-07-12T06:45:00,1.09,1.45
2026-07-12T07:45:00,0.98,1.36
2026-07-12T08:45:00,0.86,1.24
2026-07-12T09:45:00,0.75,1.15
2026-07-12T10:45:00,0.65,1.09
2026-07-12T11:45:00,0.6,1.03
2026-07-12T12:45:00,0.58,1.0
2026-07-12T13:45:00,0.58,1.05
2026-07-12T14:45:00,0.67,1.17
2026-07-12T15:45:00,0.77,1.3
2026-07-12T16:45:00,0.87,1.4
2026-07-12T17:45:00,0.95,1.44
2026-07-12T18:45:00,0.97,1.4
2026-07-12T19:45:00,0.97,1.32
2026-07-12T20:45:00,0.91,1.23
2026-07-12T21:45:00,0.86,1.14
2026-07-12T22:45:00,0.79,1.06
2026-07-12T23:45:00,0.76,1.0
