fecha,altura,altura_maxima,periodo,direccion
2026-08-25T00:00:00,1.32,2.16,11.7,154
2026-08-25T00:30:00,1.5,2.09,10.92,153
2026-08-25T01:00:00,1.42,2.27,10.92,156
2026-08-25T01:30:00,1.37,2.11,10.92,156
2026-08-25T02:00:00,1.44,2.18,11.7,153
2026-08-25T02:30:00,1.38,2.42,10.92,152
2026-08-25T03:00:00,1.28,1.84,11.7,155
2026-08-25T03:30:00,1.44,2.5,11.7,148
2026-08-25T04:00:00,1.26,2.19,11.7,147
2026-08-25T04:30:00,1.36,1.92,10.92,152
2026-08-25T05:00:00,1.33,2.05,11.7,150
2026-08-25T05:30:00,1.3,1.84,10.92,151
2026-08-25T06:00:00,1.4,2.44,11.7,148
2026-08-25T06:30:00,1.33,2.08,11.7,153
2026-08-25T07:00:00,1.29,2.0,11.7,153
2026-08-25T07:30:00,1.44,2.42,10.92,152
2026-08-25T08:00:00,1.32,2.0,10.92,155
2026-08-25T08:30:00,1.45,2.15,10.92,150
2026-08-25T09:30:00,1.61,2.55,11.7,149
2026-08-25T10:00:00,1.6,2.48,11.7,150
2026-08-25T10:30:00,1.75,3.01,16.38,154
2026-08-25T11:00:00,1.71,2.83,16.38,147
2026-08-25T11:30:00,1.94,3.02,16.38,142
