fecha,altura,altura_maxima,periodo,direccion
2026-08-28T00:00:00,0.78,1.22,11.7,148
2026-08-28T00:30:00,0.81,1.13,11.7,143
2026-08-28T01:00:00,0.79,1.01,11.7,147
2026-08-28T01:30:00,0.78,1.16,11.7,147
2026-08-28T02:00:00,0.72,1.02,12.6,154
2026-08-28T02:30:00,0.78,1.23,7.8,124
2026-08-28T03:00:00,0.83,1.35,10.92,149
2026-08-28T03:30:00,0.75,1.12,11.7,142
2026-08-28T04:00:00,0.76,1.53,11.7,151
2026-08-28T04:30:00,0.77,1.36,11.7,144
2026-08-28T05:00:00,0.78,1.18,12.6,148
2026-08-28T05:30:00,0.72,1.19,8.19,118
2026-08-28T06:00:00,0.76,1.34,11.7,142
2026-08-28T06:30:00,0.72,1.27,11.7,141
2026-08-28T07:00:00,0.74,1.11,11.7,152
2026-08-28T07:30:00,0.8,1.21,11.7,149
2026-08-28T08:00:00,0.73,1.11,11.7,149
2026-08-28T08:30:00,0.69,1.19,10.92,147
2026-08-28T09:00:00,0.75,1.11,11.7,147
2026-08-28T09:30:00,0.66,1.12,11.7,152
2026-08-28T10:00:00,0.73,1.18,11.7,151
2026-08-28T10:30:00,0.71,1.17,11.7,151
2026-08-28T11:00:00,0.7,0.99,10.92,141
2026-08-28T11:30:00,0.65,1.12,8.19,116
2026-08-28T12:00:00,0.65,0.95,11.7,144
2026-08-28T12:30:00,0.7,1.26,10.92,142
2026-08-28T13:00:00,0.65,1.01,8.19,113
2026-08-28T13:30:00,0.66,1.05,10.92,139
2026-08-28T14:00:00,0.68,0.97,10.92,138
2026-08-28T14:30:00,0.74,1.31,10.92,134
2026-08-28T15:00:00,0.67,1.0,8.62,120
2026-08-28T15:30:00,0.66,1.02,10.24,134
2026-08-28T16:00:00,0.68,1.22,10.24,134
2026-08-28T16:30:00,0.67,1.1,10.92,140
2026-08-28T17:00:00,0.71,1.1,10.92,134
2026-08-28T17:30:00,0.7,1.14,9.1,123
2026-08-28T18:00:00,0.65,1.06,10.92,132
2026-08-28T18:30:00,0.67,1.06,9.64,128
2026-08-28T19:00:00,0.64,1.02,8.62,119
2026-08-28T19:30:00,0.64,1.1,9.1,122
2026-08-28T20:00:00,0.62,1.02,10.24,124
2026-08-28T20:30:00,0.65,1.01,10.92,133
2026-08-28T21:00:00,0.64,1.24,9.64,123
2026-08-28T21:30:00,0.62,1.11,9.64,123
2026-08-28T22:00:00,0.62,1.18,9.64,126
2026-08-28T22:30:00,0.59,0.98,10.24,129
2026-08-28T23:00:00,0.58,0.98,10.24,128
2026-08-28T23:30:00,0.59,1.11,9.64,126
