fecha,altura,altura_maxima,periodo,direccion
2026-09-19T00:00:00,0.52,0.92,10.92,161
2026-09-19T00:30:00,0.5,0.79,11.7,168
2026-09-19T01:00:00,0.52,0.9,11.7,159
2026-09-19T01:30:00,0.51,1.01,11.7,156
2026-09-19T02:00:00,0.54,0.84,11.7,159
2026-09-19T02:30:00,0.49,0.81,11.7,161
2026-09-19T03:00:00,0.52,0.78,11.7,153
2026-09-19T03:30:00,0.48,0.77,11.7,155
2026-09-19T04:00:00,0.56,0.94,11.7,158
2026-09-19T04:30:00,0.5,0.69,11.7,156
2026-09-19T05:00:00,0.53,0.97,11.7,153
2026-09-19T05:30:00,0.47,0.85,10.92,153
2026-09-19T06:00:00,0.5,0.87,10.92,153
2026-09-19T06:30:00,0.54,0.82,11.7,152
2026-09-19T07:00:00,0.49,0.72,11.7,154
2026-09-19T07:30:00,0.5,0.74,10.92,157
2026-09-19T08:00:00,0.52,0.81,10.92,159
2026-09-19T08:30:00,0.54,0.85,10.92,161
2026-09-19T09:00:00,0.49,1.0,11.7,158
2026-09-19T09:30:00,0.5,0.78,10.92,156
2026-09-19T10:00:00,0.58,0.89,10.92,155
2026-09-19T10:30:00,0.53,0.92,10.92,157
2026-09-19T11:00:00,0.48,0.75,11.7,158
2026-09-19T11:30:00,0.54,0.9,11.7,159
2026-09-19T12:30:00,0.47,0.75,10.92,154
2026-09-19T13:00:00,0.45,0.73,11.7,161
2026-09-19T13:30:00,0.47,0.78,11.7,157
2026-09-19T14:00:00,0.5,0.78,11.7,157
2026-09-19T14:30:00,0.52,0.85,10.92,153
2026-09-19T15:00:00,0.48,0.82,11.7,158
2026-09-19T15:30:00,0.46,0.75,11.7,161
2026-09-19T16:30:00,0.54,0.83,10.92,159
2026-09-19T17:00:00,0.6,1.04,10.92,161
2026-09-19T17:30:00,0.61,1.01,10.92,154
2026-09-19T18:30:00,0.59,1.0,10.92,151
2026-09-19T19:00:00,0.61,0.97,10.92,155
2026-09-19T19:30:00,0.57,0.88,10.92,159
2026-09-19T20:00:00,0.56,0.84,10.92,160
2026-09-19T20:30:00,0.56,0.92,10.24,156
2026-09-19T21:00:00,0.56,0.82,10.92,158
2026-09-19T21:30:00,0.53,0.73,10.24,154
2026-09-19T22:00:00,0.55,0.9,10.92,155
2026-09-19T22:30:00,0.56,1.04,10.92,161
2026-09-19T23:00:00,0.55,0.8,10.24,159
2026-09-19T23:30:00,0.55,1.02,10.92,162
