fecha,altura,altura_maxima,periodo,direccion
2026-09-23T00:30:00,2.78,4.56,12.6,158
2026-09-23T01:00:00,2.82,4.66,14.89,156
2026-09-23T01:30:00,2.7,4.06,13.65,154
2026-09-23T02:00:00,2.53,3.75,14.89,155
2026-09-23T02:30:00,2.43,4.04,13.65,156
2026-09-23T03:00:00,2.62,3.7,13.65,159
2026-09-23T03:30:00,2.41,3.55,13.65,160
2026-09-23T04:00:00,2.19,3.41,14.89,159
2026-09-23T04:30:00,2.36,3.96,13.65,157
2026-09-23T05:00:00,2.3,3.7,13.65,159
2026-09-23T05:30:00,1.99,3.42,13.65,151
2026-09-23T06:00:00,2.26,3.59,14.89,156
2026-09-23T06:30:00,2.34,3.29,14.89,153
2026-09-23T07:00:00,2.03,3.09,12.6,153
2026-09-23T07:30:00,1.98,3.54,14.89,150
2026-09-23T08:00:00,2.0,2.95,13.65,154
2026-09-23T09:00:00,1.94,3.29,13.65,152
2026-09-23T09:30:00,1.84,2.55,13.65,155
2026-09-23T10:00:00,1.88,3.17,13.65,151
2026-09-23T11:00:00,1.65,2.54,13.65,146
2026-09-23T11:30:00,1.73,2.69,12.6,156
2026-09-23T12:00:00,1.86,2.94,13.65,151
2026-09-23T12:30:00,1.86,3.96,13.65,152
2026-09-23T13:30:00,1.72,2.87,13.65,159
2026-09-23T14:00:00,1.6,2.67,13.65,159
