fecha,altura,altura_maxima,periodo,direccion
2026-09-15T00:00:00,0.52,0.85,7.12,203
2026-09-15T00:30:00,0.51,0.94,6.83,208
2026-09-15T01:00:00,0.55,0.91,7.12,210
2026-09-15T01:30:00,0.6,0.85,7.45,199
2026-09-15T02:00:00,0.68,1.07,7.45,203
2026-09-15T02:30:00,0.79,1.22,6.55,210
2026-09-15T03:00:00,0.94,1.6,3.49,206
2026-09-15T03:30:00,1.03,1.61,3.81,203
2026-09-15T04:00:00,1.16,1.77,4.55,202
2026-09-15T04:30:00,1.37,2.23,4.82,210
2026-09-15T05:00:00,1.76,2.51,5.12,203
2026-09-15T05:30:00,1.94,3.12,5.85,205
2026-09-15T06:00:00,2.03,3.44,6.3,205
2026-09-15T06:30:00,2.06,3.17,6.3,208
2026-09-15T07:00:00,2.22,3.45,6.3,198
2026-09-15T07:30:00,2.35,3.79,6.55,201
2026-09-15T08:00:00,2.26,3.79,6.83,201
2026-09-15T08:30:00,2.36,4.25,6.83,196
2026-09-15T09:00:00,2.54,3.93,7.45,193
2026-09-15T09:30:00,2.55,4.56,7.45,201
2026-09-15T10:00:00,2.52,4.14,7.8,194
2026-09-15T10:30:00,2.43,4.08,7.8,195
2026-09-15T11:00:00,2.45,3.87,7.8,193
2026-09-15T11:30:00,2.42,3.58,8.19,189
2026-09-15T12:00:00,2.48,4.7,8.19,192
2026-09-15T12:30:00,2.26,3.51,8.19,185
2026-09-15T13:00:00,2.33,4.34,8.62,184
2026-09-15T13:30:00,2.46,4.42,8.62,184
2026-09-15T14:00:00,2.43,4.27,8.62,182
