fecha,altura,altura_maxima,periodo,direccion
2026-09-14T00:00:00,0.69,1.12,10.92,153
2026-09-14T01:30:00,0.64,1.15,10.24,156
2026-09-14T02:00:00,0.65,0.95,10.24,147
2026-09-14T03:30:00,0.6,0.86,10.92,153
2026-09-14T04:00:00,0.59,0.88,9.64,145
2026-09-14T04:30:00,0.59,0.84,9.1,148
2026-09-14T05:00:00,0.68,1.15,10.24,146
2026-09-14T05:30:00,0.57,0.91,9.64,147
2026-09-14T06:00:00,0.61,0.98,9.64,143
2026-09-14T06:30:00,0.58,0.93,9.64,144
2026-09-14T07:00:00,0.59,0.99,10.92,149
2026-09-14T07:30:00,0.62,1.05,8.62,124
2026-09-14T08:00:00,0.62,0.96,10.92,151
2026-09-14T08:30:00,0.66,1.12,9.1,142
2026-09-14T09:00:00,0.68,0.95,10.24,140
2026-09-14T09:30:00,0.76,1.31,10.24,158
2026-09-14T10:00:00,0.75,1.31,9.64,158
2026-09-14T10:30:00,0.78,1.21,10.92,151
2026-09-14T11:00:00,0.81,1.25,5.46,235
2026-09-14T11:30:00,0.83,1.4,5.46,231
2026-09-14T12:00:00,0.86,1.27,5.29,238
2026-09-14T12:30:00,0.86,1.32,5.65,235
2026-09-14T13:00:00,0.87,1.29,7.45,195
2026-09-14T13:30:00,0.85,1.29,5.65,232
2026-09-14T14:00:00,0.81,1.29,5.46,237
2026-09-14T14:30:00,0.82,1.22,5.46,238
2026-09-14T15:00:00,0.83,1.31,5.29,234
2026-09-14T15:30:00,0.77,1.54,5.12,239
2026-09-14T16:00:00,0.79,1.46,6.07,221
2026-09-14T16:30:00,0.77,1.18,5.65,234
2026-09-14T17:00:00,0.73,1.17,5.46,233
2026-09-14T17:30:00,0.65,1.07,5.65,227
2026-09-14T18:00:00,0.62,1.13,9.1,143
2026-09-14T18:30:00,0.59,0.95,9.64,144
2026-09-14T19:00:00,0.57,0.95,10.24,141
2026-09-14T19:30:00,0.56,0.9,10.24,141
2026-09-14T20:00:00,0.52,0.95,9.64,145
2026-09-14T20:30:00,0.52,0.85,6.3,219
2026-09-14T21:00:00,0.5,0.78,10.24,149
2026-09-14T21:30:00,0.47,0.73,7.8,159
2026-09-14T22:00:00,0.47,0.77,7.12,197
2026-09-14T22:30:00,0.48,0.87,7.12,194
2026-09-14T23:00:00,0.48,0.81,7.12,207
2026-09-14T23:30:00,0.48,0.71,8.19,179
