fecha,altura,altura_maxima,periodo,direccion
2026-09-21T00:00:00,0.63,1.05,2.78,243
2026-09-21T00:30:00,0.71,1.1,3.28,237
2026-09-21T01:00:00,0.78,1.44,3.34,234
2026-09-21T01:30:00,0.84,1.5,3.81,238
2026-09-21T02:00:00,0.89,1.66,4.0,232
2026-09-21T02:30:00,1.0,1.62,4.68,230
2026-09-21T03:00:00,1.04,1.5,4.43,233
2026-09-21T03:30:00,1.05,1.64,4.43,233
2026-09-21T04:00:00,1.07,1.71,4.96,231
2026-09-21T04:30:00,1.14,2.1,5.29,230
2026-09-21T05:00:00,1.28,2.12,6.55,218
2026-09-21T05:30:00,1.41,2.29,6.55,222
2026-09-21T06:00:00,1.57,3.09,6.3,224
2026-09-21T06:30:00,1.92,3.47,6.83,224
2026-09-21T07:00:00,2.2,5.11,6.83,226
2026-09-21T07:30:00,2.13,3.39,7.45,226
2026-09-21T08:00:00,2.54,4.36,7.8,226
2026-09-21T08:30:00,2.89,5.56,7.45,233
2026-09-21T09:00:00,2.97,7.79,7.8,233
2026-09-21T13:30:00,5.03,7.86,10.92,205
