fecha,altura,altura_maxima,periodo,direccion
2026-08-22T11:00:00,2.67,4.11,11.0,164
2026-08-22T11:30:00,3.31,5.87,11.0,187
2026-08-22T12:00:00,2.78,4.13,10.0,168
2026-08-22T12:30:00,2.89,4.41,10.0,185
2026-08-22T13:00:00,3.04,6.11,11.0,1742026
2026-08-22T14:00:00,2.93,4.37,10.92,171
2026-08-22T14:30:00,2.85,4.05,10.24,176
2026-08-22T15:00:00,2.8,4.34,10.24,177
2026-08-22T15:30:00,2.92,4.47,10.24,174
2026-08-22T16:00:00,2.89,5.69,8.62,188
2026-08-22T16:30:00,3.0,4.65,10.24,176
2026-08-22T17:00:00,2.65,4.6,10.24,176
2026-08-22T17:30:00,2.84,4.45,8.62,192
2026-08-22T18:00:00,2.9,4.6,10.92,173
2026-08-22T18:30:00,2.73,5.45,9.64,176
2026-08-22T19:00:00,2.72,3.81,10.92,171
2026-08-22T19:30:00,2.9,5.11,10.92,172
2026-08-22T20:00:00,3.02,5.82,10.24,172
2026-08-22T22:00:00,2.9,4.49,10.92,163
2026-08-22T22:30:00,2.89,5.95,10.92,167
2026-08-22T23:00:00,3.01,4.78,10.24,170
2026-08-22T23:30:00,2.9,4.42,11.7,164
