fecha,altura,altura_maxima,periodo,direccion
2026-09-24T00:00:00,1.46,2.07,14.89,156
2026-09-24T00:30:00,1.28,1.99,14.89,152
2026-09-24T01:00:00,1.26,2.01,14.89,149
2026-09-24T01:30:00,1.17,1.82,14.89,148
2026-09-24T02:00:00,1.23,2.05,13.65,149
2026-09-24T02:30:00,1.22,2.1,13.65,150
2026-09-24T03:00:00,1.19,1.67,14.89,154
2026-09-24T03:30:00,1.07,1.98,13.65,160
2026-09-24T04:30:00,1.05,1.52,13.65,150
2026-09-24T05:00:00,0.97,1.44,13.65,153
2026-09-24T05:30:00,0.97,1.43,14.89,150
2026-09-24T06:00:00,0.98,1.67,14.89,153
2026-09-24T06:30:00,0.88,1.37,13.65,152
2026-09-24T07:00:00,0.92,1.41,13.65,155
2026-09-24T07:30:00,0.94,1.55,13.65,155
2026-09-24T08:00:00,0.95,1.57,14.89,156
2026-09-24T08:30:00,0.87,1.41,14.89,160
2026-09-24T09:30:00,0.91,1.39,13.65,150
2026-09-24T10:00:00,0.88,1.52,13.65,151
2026-09-24T10:30:00,0.87,1.48,14.89,144
2026-09-24T11:00:00,0.83,1.21,13.65,150
2026-09-24T11:30:00,0.76,1.13,13.65,157
2026-09-24T12:00:00,0.82,1.42,13.65,152
2026-09-24T12:30:00,0.78,1.26,13.65,149
2026-09-24T13:00:00,0.71,1.23,13.65,148
2026-09-24T13:30:00,0.82,1.44,12.6,149
2026-09-24T14:30:00,0.72,1.21,13.65,147
2026-09-24T15:00:00,0.7,1.22,13.65,151
2026-09-24T16:00:00,0.7,1.12,13.65,153
2026-09-24T17:30:00,0.69,1.11,13.65,154
2026-09-24T18:00:00,0.69,1.08,13.65,149
2026-09-24T18:30:00,0.62,0.91,13.65,150
2026-09-24T19:00:00,0.54,0.94,12.6,156
2026-09-24T19:30:00,0.57,0.98,12.6,146
2026-09-24T20:00:00,0.6,0.87,13.65,148
2026-09-24T20:30:00,0.59,0.81,12.6,151
2026-09-24T21:00:00,0.54,0.85,13.65,152
2026-09-24T21:30:00,0.51,0.83,12.6,148
2026-09-24T22:00:00,0.56,0.81,12.6,151
2026-09-24T22:30:00,0.52,0.9,12.6,152
2026-09-24T23:00:00,0.55,0.79,12.6,160
2026-09-24T23:30:00,0.69,0.92,12.6,151
