fecha,altura_astronomica_m,altura_medida_m
2026-07-15T06:45:00,1.42,1.51
2026-07-15T07:45:00,1.52,1.54
2026-07-15T08:45:00,1.49,1.44
2026-07-15T09:45:00,1.34,1.27
2026-07-15T10:45:00,1.14,1.1
2026-07-15T11:45:00,0.96,0.95
2026-07-15T12:45:00,0.81,0.83
2026-07-15T13:45:00,0.67,0.71
2026-07-15T14:45:00,0.54,0.61
2026-07-15T15:45:00,0.46,0.51
2026-07-15T16:45:00,0.5,0.44
2026-07-15T17:45:00,0.63,0.44
2026-07-15T18:45:00,0.78,0.69
2026-07-15T19:45:00,0.88,
2026-07-15T20:45:00,0.92,
2026-07-15T21:45:00,0.88,
2026-07-15T22:45:00,0.81,
2026-07-15T23:45:00,0.76,
