fecha,altura_astronomica_m,altura_medida_m
2026-07-09T00:45:00,0.91,1.2
2026-07-09T01:45:00,0.93,1.26
2026-07-09T02:45:00,0.88,1.2
2026-07-09T03:45:00,0.8,1.07
2026-07-09T04:45:00,0.72,0.96
2026-07-09T05:45:00,0.62,0.85
2026-07-09T06:45:00,0.53,0.76
2026-07-09T07:45:00,0.44,0.67
2026-07-09T08:45:00,0.4,0.59
2026-07-09T09:45:00,0.42,0.57
2026-07-09T10:45:00,0.56,0.89
2026-07-09T11:45:00,0.78,1.23
2026-07-09T12:45:00,1.0,1.37
2026-07-09T13:45:00,1.13,1.5
2026-07-09T14:45:00,1.17,1.53
2026-07-09T15:45:00,1.13,1.44
2026-07-09T16:45:00,1.05,1.29
2026-07-09T17:45:00,0.93,1.14
2026-07-09T18:45:00,0.81,1.03
2026-07-09T19:45:00,0.7,0.92
2026-07-09T20:45:00,0.63,0.83
2026-07-09T21:45:00,0.6,0.76
2026-07-09T22:45:00,0.64,0.8
2026-07-09T23:45:00,0.76,1.16
