fecha,velocidad,direccion
2026-08-19T00:00:00,19.93,342
2026-08-19T00:01:00,19.18,343
2026-08-19T00:02:00,21.13,344
2026-08-19T00:03:00,20.6,343
2026-08-19T00:04:00,20.28,346
2026-08-19T00:05:00,21.68,347
2026-08-19T00:06:00,22.59,346
2026-08-19T00:07:00,20.76,346
2026-08-19T00:08:00,21.0,344
2026-08-19T00:09:00,19.97,340
2026-08-19T00:10:00,19.62,342
2026-08-19T00:11:00,18.91,339
2026-08-19T00:12:00,19.07,342
2026-08-19T00:13:00,19.4,332
2026-08-19T00:14:00,18.34,338
2026-08-19T00:15:00,19.96,335
2026-08-19T00:16:00,19.51,336
2026-08-19T00:17:00,18.31,343
2026-08-19T00:18:00,18.77,340
2026-08-19T00:19:00,18.74,344
2026-08-19T00:20:00,20.08,340
2026-08-19T00:21:00,21.9,346
2026-08-19T00:22:00,23.0,344
2026-08-19T00:23:00,22.96,344
2026-08-19T00:24:00,22.48,345
2026-08-19T00:25:00,21.72,340
2026-08-19T00:26:00,21.69,343
2026-08-19T00:27:00,21.01,342
2026-08-19T00:28:00,20.4,340
2026-08-19T00:29:00,18.77,343
2026-08-19T00:30:00,17.67,339
2026-08-19T00:31:00,20.95,346
2026-08-19T00:32:00,22.26,346
2026-08-19T00:33:00,21.37,344
2026-08-19T00:34:00,22.68,346
2026-08-19T00:35:00,23.02,345
2026-08-19T00:36:00,23.69,343
2026-08-19T00:37:00,22.98,342
2026-08-19T00:38:00,21.74,345
2026-08-19T00:39:00,20.57,342
2026-08-19T00:40:00,21.22,344
2026-08-19T00:41:00,20.91,344
2026-08-19T00:42:00,20.62,344
2026-08-19T00:43:00,19.56,342
2026-08-19T00:44:00,21.3,345
2026-08-19T00:45:00,21.48,345
2026-08-19T00:46:00,20.93,343
2026-08-19T00:47:00,22.01,345
2026-08-19T00:48:00,21.53,343
2026-08-19T00:49:00,21.46,345
2026-08-19T00:50:00,22.33,341
2026-08-19T00:51:00,22.74,343
2026-08-19T00:52:00,22.64,344
2026-08-19T00:53:00,23.77,344
2026-08-19T00:54:00,22.76,343
2026-08-19T00:55:00,21.6,342
2026-08-19T00:56:00,21.93,338
2026-08-19T00:57:00,21.03,337
2026-08-19T00:58:00,22.39,336
2026-08-19T00:59:00,22.31,334
2026-08-19T01:00:00,23.15,337
2026-08-19T01:01:00,22.47,338
2026-08-19T01:02:00,22.47,334
2026-08-19T01:03:00,21.28,336
2026-08-19T01:04:00,24.09,334
2026-08-19T01:05:00,20.64,339
2026-08-19T01:06:00,21.9,340
2026-08-19T01:07:00,23.16,342
2026-08-19T01:08:00,22.5,342
2026-08-19T01:09:00,22.86,339
2026-08-19T01:10:00,22.5,340
2026-08-19T01:11:00,23.69,340
2026-08-19T01:12:00,21.36,337
2026-08-19T01:13:00,21.71,334
2026-08-19T01:14:00,21.42,330
2026-08-19T01:15:00,21.45,332
2026-08-19T01:16:00,20.34,336
2026-08-19T01:17:00,18.54,341
2026-08-19T01:18:00,23.51,329
2026-08-19T01:19:00,22.5,339
2026-08-19T01:20:00,21.71,340
2026-08-19T01:21:00,23.62,337
2026-08-19T01:22:00,20.66,348
2026-08-19T01:23:00,23.54,344
2026-08-19T01:24:00,23.33,333
2026-08-19T01:25:00,25.52,347
2026-08-19T01:26:00,20.81,341
2026-08-19T01:27:00,20.27,343
2026-08-19T01:28:00,23.0,343
2026-08-19T01:29:00,21.85,334
2026-08-19T01:30:00,25.09,325
2026-08-19T01:31:00,19.66,342
2026-08-19T01:32:00,23.72,331
2026-08-19T01:33:00,21.49,338
2026-08-19T01:34:00,24.23,336
2026-08-19T01:35:00,24.95,335
2026-08-19T01:36:00,21.82,344
2026-08-19T01:37:00,20.27,348
2026-08-19T01:38:00,22.57,336
2026-08-19T01:39:00,24.91,345
2026-08-19T01:40:00,24.84,340
2026-08-19T01:41:00,26.21,346
2026-08-19T01:42:00,25.87,346
2026-08-19T01:43:00,24.52,347
2026-08-19T01:44:00,25.93,348
2026-08-19T01:45:00,25.6,347
2026-08-19T01:46:00,25.98,348
2026-08-19T01:47:00,25.74,346
2026-08-19T01:48:00,24.34,346
2026-08-19T01:49:00,28.33,346
2026-08-19T01:50:00,26.46,347
2026-08-19T01:51:00,29.45,345
2026-08-19T01:52:00,27.0,344
2026-08-19T01:53:00,22.82,341
2026-08-19T01:54:00,29.2,349
2026-08-19T01:55:00,28.01,340
2026-08-19T01:56:00,26.68,346
2026-08-19T01:57:00,27.94,346
2026-08-19T01:58:00,30.89,351
2026-08-19T01:59:00,26.96,344
2026-08-19T02:00:00,28.58,355
2026-08-19T02:01:00,25.78,350
2026-08-19T02:02:00,23.58,345
2026-08-19T02:03:00,25.34,336
2026-08-19T02:04:00,25.85,345
2026-08-19T02:05:00,27.36,341
2026-08-19T02:06:00,29.95,346
2026-08-19T02:07:00,26.68,348
2026-08-19T02:08:00,22.57,345
2026-08-19T02:09:00,24.34,348
2026-08-19T02:10:00,27.0,347
2026-08-19T02:11:00,28.3,346
2026-08-19T02:12:00,25.74,341
2026-08-19T02:13:00,26.35,343
2026-08-19T02:14:00,27.32,345
2026-08-19T02:15:00,24.52,345
2026-08-19T02:16:00,29.09,344
2026-08-19T02:17:00,27.86,345
2026-08-19T02:18:00,28.01,336
2026-08-19T02:19:00,28.01,348
2026-08-19T02:20:00,27.58,347
2026-08-19T02:21:00,24.25,343
2026-08-19T02:22:00,26.5,347
2026-08-19T02:23:00,22.36,346
2026-08-19T02:24:00,24.1,343
2026-08-19T02:25:00,23.45,345
2026-08-19T02:26:00,24.8,341
2026-08-19T02:27:00,27.92,350
2026-08-19T02:28:00,26.57,340
2026-08-19T02:29:00,26.73,346
2026-08-19T02:30:00,22.63,349
2026-08-19T02:31:00,26.24,345
2026-08-19T02:32:00,26.24,352
2026-08-19T02:33:00,24.17,350
2026-08-19T02:34:00,24.53,347
2026-08-19T02:35:00,22.54,348
2026-08-19T02:36:00,24.03,350
2026-08-19T02:37:00,28.21,351
2026-08-19T02:38:00,25.2,343
2026-08-19T02:39:00,26.8,350
2026-08-19T02:40:00,28.17,347
2026-08-19T02:41:00,25.85,344
2026-08-19T02:42:00,26.69,345
2026-08-19T02:43:00,28.04,342
2026-08-19T02:44:00,27.81,345
2026-08-19T02:45:00,25.69,346
